66.71.3.17;[22/Sep/2014:15:24:44 -0400];"GET /favicon.ico HTTP/1.1";1150
70.32.192.181;[22/Sep/2014:16:19:20 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
70.32.192.181;[22/Sep/2014:16:19:21 -0400];"GET /cs/cs-style.css HTTP/1.1";795
70.32.192.181;[22/Sep/2014:16:19:21 -0400];"GET /favicon.ico HTTP/1.1";1150
220.181.108.116;[22/Sep/2014:17:24:22 -0400];"GET / HTTP/1.1";13520
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3.html HTTP/1.1";21372
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img1.gif HTTP/1.1";126
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img2.gif HTTP/1.1";80
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img3.gif HTTP/1.1";93
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img4.gif HTTP/1.1";104
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img5.gif HTTP/1.1";126
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img6.gif HTTP/1.1";55
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img7.gif HTTP/1.1";62
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img8.gif HTTP/1.1";84
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img9.gif HTTP/1.1";192
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img10.gif HTTP/1.1";125
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img11.gif HTTP/1.1";60
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img12.gif HTTP/1.1";130
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img13.gif HTTP/1.1";105
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img14.gif HTTP/1.1";60
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img15.gif HTTP/1.1";81
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img16.gif HTTP/1.1";87
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img17.gif HTTP/1.1";90
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img18.gif HTTP/1.1";87
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img19.gif HTTP/1.1";75
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img20.gif HTTP/1.1";157
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img21.gif HTTP/1.1";64
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img22.gif HTTP/1.1";115
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img23.gif HTTP/1.1";74
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img24.gif HTTP/1.1";80
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img25.gif HTTP/1.1";124
108.200.21.146;[22/Sep/2014:18:18:11 -0400];"GET /courses/comp419.taw.s97/rdesign3/img26.gif HTTP/1.1";77
108.200.21.146;[22/Sep/2014:18:18:12 -0400];"GET /courses/comp419.taw.s97/rdesign3/img27.gif HTTP/1.1";147
108.200.21.146;[22/Sep/2014:18:18:12 -0400];"GET /courses/comp419.taw.s97/rdesign3/img28.gif HTTP/1.1";148
108.200.21.146;[22/Sep/2014:18:18:12 -0400];"GET /favicon.ico HTTP/1.1";1150
108.200.21.146;[22/Sep/2014:18:20:46 -0400];"GET /favicon.ico HTTP/1.1";1150
108.75.226.47;[22/Sep/2014:19:42:55 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
108.75.226.47;[22/Sep/2014:19:42:55 -0400];"GET /cs/cs-style.css HTTP/1.1";795
108.75.226.47;[22/Sep/2014:19:42:55 -0400];"GET /favicon.ico HTTP/1.1";1150
5.254.131.55;[22/Sep/2014:20:39:02 -0400];"GET /ms/ms/ HTTP/1.1";288
130.203.16.123;[22/Sep/2014:21:24:26 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
130.203.16.123;[22/Sep/2014:21:24:26 -0400];"GET /cs/cs-style.css HTTP/1.1";795
130.203.16.123;[22/Sep/2014:21:24:26 -0400];"GET /favicon.ico HTTP/1.1";1150
130.203.16.123;[22/Sep/2014:21:24:26 -0400];"GET /favicon.ico HTTP/1.1";1150
221.204.196.115;[22/Sep/2014:22:18:51 -0400];"GET /~ced118 HTTP/1.1";293
180.153.163.210;[22/Sep/2014:23:15:51 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
23.110.51.2;[23/Sep/2014:00:20:45 -0400];"GET /cmpsc487/FBI_Trilogy.pdf HTTP/1.0";306
72.24.100.44;[23/Sep/2014:01:33:28 -0400];"GET /courses/comp419.taw.s97/exam1/gen.gif HTTP/1.1";3140
